上海,#genre#
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv#http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰资讯,http://103.95.24.37:880/fhzx.m3u8
凤凰卫视,http://103.95.24.37:880/fhws.m3u8
凤凰卫视,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰卫视,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
东方卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225942/index.m3u8
东方卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000182/index.m3u8?IAS
东方卫视,http://219.147.3.106:4455/newlive/live/hls/23/live.m3u8
新闻综合,http://101.83.126.159:4022/udp/239.45.3.209:5140
新闻综合,http://php.jdshipin.com:8880/bst.php?id=xwzhhd8m/8000000
新闻综合,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031110/1.m3u8?channel-id=bestzb&Contentid=5000000011000031110&livemode=1&stbId=3
上海都市,http://101.83.126.159:4022/rtp/239.45.3.236:5140
上海都市,http://php.jdshipin.com:8880/bst.php?id=dshd8m/8000000
上海都市,http://php.jdshipin.com:8880/bst.php?id=ylpdhd/4000000
五星体育,http://php.jdshipin.com:8880/bst.php?id=wxtyhd8m/8000000
五星体育,http://php.jdshipin.com:8880/bst.php?id=ssty/4000000
五星体育,http://101.83.126.159:4022/rtp/239.45.3.210:5140
第一财经,http://101.83.126.159:4022/rtp/239.45.3.211:5140
第一财经,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/dycjhd8m/8000000/mnf.m3u8
第一财经,http://php.jdshipin.com:8880/bst.php?id=dycjhd8m/8000000
上海ICS,http://101.83.126.159:4022/rtp/239.45.1.127:5140
七彩戏剧,http://101.83.126.159:4022/rtp/239.45.0.16:5140
教育台,http://101.83.126.159:4022/rtp/239.45.3.122:5140
东方财经,http://101.83.126.159:4022/rtp/239.45.1.119:5140
哈哈炫动,http://101.83.126.159:4022/rtp/239.45.1.55:5140
纪实人文,http://101.83.126.159:4022/rtp/239.45.3.212:5140
东方影视,http://101.83.126.159:4022/rtp/239.45.3.237:5140
都市剧场,http://101.83.126.159:4022/rtp/239.45.3.136:5140
欢笑剧场,http://101.83.126.159:4022/rtp/239.45.3.196:5140
乐游,http://101.83.126.159:4022/rtp/239.45.3.135:5140
动漫秀场,http://101.83.126.159:4022/rtp/239.45.3.134:5140
生活时尚,http://101.83.126.159:4022/rtp/239.45.3.132:5140
游戏风云,http://101.83.126.159:4022/rtp/239.45.3.131:5140
MAX极速汽车,http://101.83.126.159:4022/rtp/239.45.3.49:5
百事通4K,http://101.83.126.159:4022/rtp/239.45.1.42:5140#http://101.83.126.159:4022/rtp/239.45.3.107:5140#http://101.83.126.159:4022/rtp/239.45.3.107:5140


4k,#genre#
CCTV8K,https://tv.cry33.com/ys4k.php?id=8k
CCTV4K,http://kjsp.aikan.miguvideo.com/PLTV/88888888/224/3221233679/index.m3u8
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/PLTV/1/224/3221230974/1.m3u8
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/4/224/3221228228/index.m3u8
4KUHD,http://[2409:8087:2001:20:2800:0:df6e:eb10]/ott.mobaibox.com/PLTV/4/224/3221227506/index.m3u8
4KUHD,http://[2409:8087:2001:20:2800:0:df6e:eb11]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
4KUHD,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/PLTV/1/224/3221230931/1.m3u8
4KUHD,http://[2409:8087:2001:20:2800:0:df6e:eb11]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
4KUHD,http://[2409:8087:2001:20:2800:0:df6e:eb11]/ott.mobaibox.com/PLTV/4/224/3221228242/index.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
欢笑剧场4K,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
欢笑剧场4K,https://live3.rxip.sc96655.com/live/hxjc-4k_8000.m3u8
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226582/1.m3u8
欢笑剧场4K,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
4K修复,http://[2409:8087:2001:20:2800:0:df6e:eb14]/ott.mobaibox.com/PLTV/4/224/3221228141/index.m3u8
Bloomberg TV+,https://bloomberg-bloombergtv-1-gb.samsung.wurl.com/manifest/playlist.m3u8




央视卫视,#genre#
CCTV1,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS
